order_id,product_id,user_id,order_date,quantity,payment_amount,refund_flag,channel
O000001,P1001,U000202,2026-03-01,1,391.02,0,recommendation
O000002,P1001,U000945,2026-03-01,1,399.00,0,search
O000003,P1001,U000760,2026-03-01,1,379.05,0,search
O000004,P1001,U001861,2026-03-01,1,391.02,0,recommendation
O000005,P1001,U001728,2026-03-01,1,399.00,0,search
O000006,P1001,U000040,2026-03-01,1,391.02,0,search
O000007,P1001,U001168,2026-03-01,1,399.00,0,recommendation
O000008,P1001,U001899,2026-03-01,1,399.00,0,search
O000009,P1001,U000909,2026-03-01,1,399.00,0,search
O000010,P1001,U000860,2026-03-01,1,379.05,1,search
O000011,P1001,U002057,2026-03-01,1,399.00,0,recommendation
O000012,P1001,U000631,2026-03-01,2,782.04,0,recommendation
O000013,P1001,U001182,2026-03-01,1,399.00,0,recommendation
O000014,P1001,U001197,2026-03-01,1,391.02,0,campaign
O000015,P1001,U002273,2026-03-01,1,379.05,0,campaign
O000016,P1001,U000224,2026-03-01,1,391.02,0,recommendation
O000017,P1002,U001108,2026-03-01,1,759.05,0,search
O000018,P1002,U001650,2026-03-01,1,759.05,0,search
O000019,P1002,U000433,2026-03-01,1,719.10,0,campaign
O000020,P1002,U002213,2026-03-01,1,799.00,0,search
O000021,P1002,U000117,2026-03-01,2,1598.00,0,search
O000022,P1002,U000017,2026-03-01,1,783.02,0,recommendation
O000023,P1002,U002062,2026-03-01,1,783.02,0,direct
O000024,P1002,U000836,2026-03-01,1,719.10,0,recommendation
O000025,P1003,U001545,2026-03-01,1,436.05,0,recommendation
O000026,P1003,U000089,2026-03-01,1,459.00,0,campaign
O000027,P1003,U000952,2026-03-01,1,413.10,0,search
O000028,P1003,U002380,2026-03-01,1,413.10,0,campaign
O000029,P1003,U002061,2026-03-01,1,436.05,0,recommendation
O000030,P1003,U002317,2026-03-01,1,459.00,0,campaign
O000031,P1004,U001689,2026-03-01,1,255.55,0,recommendation
O000032,P1004,U001275,2026-03-01,1,269.00,0,search
O000033,P1004,U000962,2026-03-01,1,242.10,0,search
O000034,P1004,U002047,2026-03-01,1,255.55,0,search
O000035,P1004,U001687,2026-03-01,1,242.10,0,search
O000036,P1005,U001122,2026-03-01,2,258.00,0,campaign
O000037,P1005,U001759,2026-03-01,1,126.42,0,search
O000038,P1005,U002545,2026-03-01,1,116.10,0,recommendation
O000039,P1005,U000283,2026-03-01,1,122.55,0,search
O000040,P1005,U000042,2026-03-01,1,116.10,0,campaign
O000041,P1001,U000946,2026-03-02,1,379.05,0,recommendation
O000042,P1001,U000259,2026-03-02,1,391.02,0,recommendation
O000043,P1001,U001828,2026-03-02,1,399.00,0,recommendation
O000044,P1001,U001915,2026-03-02,1,379.05,0,search
O000045,P1001,U001687,2026-03-02,1,391.02,0,search
O000046,P1001,U000062,2026-03-02,1,391.02,0,search
O000047,P1001,U001143,2026-03-02,1,379.05,1,campaign
O000048,P1001,U000395,2026-03-02,1,379.05,0,recommendation
O000049,P1001,U000020,2026-03-02,1,399.00,0,search
O000050,P1001,U000533,2026-03-02,1,379.05,0,search
O000051,P1001,U002167,2026-03-02,1,391.02,0,recommendation
O000052,P1001,U000992,2026-03-02,1,391.02,1,search
O000053,P1001,U001647,2026-03-02,1,379.05,0,recommendation
O000054,P1002,U000147,2026-03-02,1,759.05,0,recommendation
O000055,P1002,U002153,2026-03-02,1,783.02,0,campaign
O000056,P1002,U001659,2026-03-02,2,1566.04,0,campaign
O000057,P1002,U002547,2026-03-02,1,759.05,0,direct
O000058,P1002,U000704,2026-03-02,1,799.00,1,recommendation
O000059,P1002,U001603,2026-03-02,1,783.02,0,campaign
O000060,P1003,U002171,2026-03-02,1,413.10,0,recommendation
O000061,P1003,U000369,2026-03-02,1,436.05,0,search
O000062,P1003,U001417,2026-03-02,1,459.00,0,recommendation
O000063,P1003,U001845,2026-03-02,1,459.00,0,direct
O000064,P1003,U001339,2026-03-02,1,449.82,0,direct
O000065,P1003,U001213,2026-03-02,1,436.05,0,search
O000066,P1004,U000559,2026-03-02,1,255.55,0,campaign
O000067,P1004,U001561,2026-03-02,2,511.10,0,search
O000068,P1004,U002529,2026-03-02,1,269.00,0,recommendation
O000069,P1004,U001955,2026-03-02,1,255.55,0,campaign
O000070,P1004,U001024,2026-03-02,1,263.62,0,search
O000071,P1005,U000540,2026-03-02,1,129.00,0,recommendation
O000072,P1005,U001269,2026-03-02,1,116.10,0,search
O000073,P1005,U001673,2026-03-02,1,126.42,0,campaign
O000074,P1005,U000199,2026-03-02,1,126.42,0,campaign
O000075,P1005,U001823,2026-03-02,1,129.00,0,campaign
O000076,P1001,U000394,2026-03-03,1,399.00,0,search
O000077,P1001,U000922,2026-03-03,1,391.02,0,recommendation
O000078,P1001,U001872,2026-03-03,1,399.00,0,recommendation
O000079,P1001,U000935,2026-03-03,1,391.02,0,campaign
O000080,P1001,U000338,2026-03-03,1,391.02,0,recommendation
O000081,P1001,U002518,2026-03-03,1,391.02,0,search
O000082,P1001,U001935,2026-03-03,1,391.02,0,search
O000083,P1001,U001770,2026-03-03,1,379.05,0,campaign
O000084,P1001,U002130,2026-03-03,1,399.00,0,search
O000085,P1001,U001499,2026-03-03,1,399.00,0,search
O000086,P1001,U000288,2026-03-03,1,399.00,0,search
O000087,P1001,U001343,2026-03-03,2,782.04,0,search
O000088,P1001,U000028,2026-03-03,1,399.00,0,search
O000089,P1002,U001645,2026-03-03,1,719.10,0,recommendation
O000090,P1002,U000189,2026-03-03,1,719.10,0,search
O000091,P1002,U001697,2026-03-03,1,759.05,0,search
O000092,P1002,U000246,2026-03-03,2,1566.04,0,search
O000093,P1002,U000815,2026-03-03,2,1566.04,0,search
O000094,P1002,U000030,2026-03-03,1,783.02,1,search
O000095,P1003,U002288,2026-03-03,1,436.05,0,campaign
O000096,P1003,U000486,2026-03-03,1,413.10,0,recommendation
O000097,P1003,U000004,2026-03-03,1,459.00,0,recommendation
O000098,P1003,U000361,2026-03-03,1,459.00,0,campaign
O000099,P1003,U000341,2026-03-03,1,459.00,1,direct
O000100,P1003,U000236,2026-03-03,1,459.00,0,recommendation
O000101,P1004,U001620,2026-03-03,1,242.10,0,search
O000102,P1004,U000738,2026-03-03,1,255.55,0,direct
O000103,P1004,U002566,2026-03-03,1,269.00,0,recommendation
O000104,P1004,U000975,2026-03-03,1,263.62,0,search
O000105,P1005,U001435,2026-03-03,1,129.00,0,campaign
O000106,P1005,U001992,2026-03-03,2,232.20,0,recommendation
O000107,P1005,U001418,2026-03-03,1,122.55,0,recommendation
O000108,P1005,U000289,2026-03-03,1,126.42,0,recommendation
O000109,P1005,U001636,2026-03-03,1,122.55,0,search
O000110,P1001,U000153,2026-03-04,1,391.02,0,search
O000111,P1001,U002520,2026-03-04,1,399.00,0,direct
O000112,P1001,U001129,2026-03-04,1,379.05,0,search
O000113,P1001,U000326,2026-03-04,1,399.00,0,campaign
