merchant_id,poi_id,product_id,product_name,category,service_type,price,cvr,gmv_share,pcvr,historical_roi,margin_rate,available_slots,rating,refund_rate,keyword_coverage,is_current_bestseller
M001,POI001,P1001,水光补水体验套餐,丽人医美,皮肤管理,399,0.1809,0.32,0.065,3.8,0.28,120,4.4,0.085,0.76,true
M001,POI001,P1002,小气泡清洁护理,丽人医美,皮肤管理,199,0.154,0.21,0.052,3.3,0.35,180,4.5,0.041,0.68,true
M001,POI001,P1003,基础皮肤检测,丽人医美,咨询体验,49,0.226,0.08,0.081,2.1,0.18,300,4.2,0.025,0.44,false
M001,POI001,P1004,胶原修护护理套餐,丽人医美,皮肤管理,299,0.139,0.18,0.047,3.0,0.31,90,4.1,0.063,0.59,false
M002,POI002,P2001,日式美甲单色套餐,美甲美睫,美甲,128,0.191,0.28,0.072,4.1,0.42,210,4.7,0.018,0.81,true
M002,POI002,P2002,美睫自然款套餐,美甲美睫,美睫,168,0.133,0.17,0.046,3.2,0.39,160,4.6,0.022,0.64,false
M002,POI002,P2003,延长甲设计款套餐,美甲美睫,美甲,238,0.121,0.20,0.041,2.9,0.37,80,4.3,0.044,0.73,false
M003,POI003,P3001,双人烤肉套餐,餐饮团购,正餐,188,0.118,0.36,0.039,3.6,0.25,500,4.3,0.035,0.72,true
M003,POI003,P3002,工作日午市套餐,餐饮团购,正餐,98,0.161,0.19,0.053,3.4,0.22,360,4.2,0.027,0.66,false
M004,POI004,P4001,亲子写真体验套餐,亲子摄影,摄影,299,0.102,0.24,0.034,3.1,0.45,70,4.6,0.019,0.69,true
M004,POI004,P4002,周岁照精修套餐,亲子摄影,摄影,699,0.071,0.31,0.028,2.8,0.50,40,4.5,0.031,0.57,false
M005,POI005,P5001,健身私教体验课,运动健身,私教,99,0.207,0.16,0.069,3.7,0.48,240,4.8,0.012,0.78,true
M005,POI005,P5002,四节体态评估课程,运动健身,私教,399,0.096,0.23,0.035,3.0,0.52,100,4.4,0.026,0.62,false
M006,POI006,P6001,洗剪吹造型套餐,美发造型,美发,88,0.184,0.27,0.064,3.9,0.40,260,4.5,0.021,0.80,true
M006,POI006,P6002,染烫护理体验套餐,美发造型,美发,368,0.089,0.22,0.030,2.7,0.36,75,4.1,0.058,0.55,false
